Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_per_uL,copies,0.8325263042278398,0.95,0.7502259615798865,0.8894220391545054,17139.258025322877,4.780634443147507e-19,Spearman correlation,85
copies_per_uL,n.miss,-0.6588905279202746,0.95,-0.7672842997567577,-0.5138962663250823,169770.8566273609,5.484492761129563e-8,Spearman correlation,85
copies_per_uL,n,-0.30528484990717963,0.95,-0.4916074049335123,-0.09223395573743136,133582.85153950076,1,Spearman correlation,85
copies_per_uL,cases.symptom.onset,0.718010409044418,0.95,0.5919648713417878,0.8097720307035193,28858.814738394256,8.569897528226538e-11,Spearman correlation,85
copies_per_uL,cases.reported,0.7205148794997642,0.95,0.5953251180130645,0.811550921632103,28602.50723199413,6.277532370004053e-11,Spearman correlation,85
copies_per_uL,pcr_tests,0.674368950439369,0.95,0.5341062589526525,0.7785009074815032,33325.081612034985,1.1694271018651744e-8,Spearman correlation,85
copies_per_uL,pcr_pos,0.6899436306233091,0.95,0.554605040982914,0.7897205309250653,31731.168842010546,2.24031781519649e-9,Spearman correlation,85
copies_per_uL,antigen_tests,0.5544586889295765,0.95,0.3816212224760567,0.6898328767940881,45596.69777494713,2.443044896617687e-4,Spearman correlation,85
copies_per_uL,antigen_pos,0.605992909085836,0.95,0.44602238375545816,0.7284442497472667,40322.68568415554,5.719185511130764e-6,Spearman correlation,85
copies_per_uL,cases_A,0.675308895104088,0.95,0.5353387184671785,0.7791799131528307,33228.887675047634,1.0616146674460282e-8,Spearman correlation,85
copies_per_uL,cases_B,0.6283356244887819,0.95,0.47446801425114193,0.7449459607383246,38036.13218981806,8.989265320644628e-7,Spearman correlation,85
copies_per_uL,cases_C,0.5500505690981848,0.95,0.3761893157384906,0.6864940021843313,46047.82475849176,3.258980383169193e-4,Spearman correlation,85
copies_per_uL,cases.reported.7dma,0.7413984355452475,0.95,0.6235161168574394,0.826318803825022,26465.28410629937,4.082075758568267e-12,Spearman correlation,85
copies_per_uL,cases.symptom.onset.7dma,0.7647556098712741,0.95,0.6554136804753387,0.8426987216696403,24074.910885773807,1.3796236811397692e-13,Spearman correlation,85
copies_per_uL,pcr.pos.7dma,0.7200727114754064,0.95,0.5947315429205187,0.8112369783966344,28647.758707606907,6.630305330130619e-11,Spearman correlation,85
copies_per_uL,cases_A.7dma,0.7423726343631676,0.95,0.6248387276432247,0.8270048730145394,26365.58459927343,3.571545191791997e-12,Spearman correlation,85
copies_per_uL,cases_B.7dma,0.7310023365381866,0.95,0.6094438576573905,0.818981732449119,27529.220878681983,1.642508693926716e-11,Spearman correlation,85
copies_per_uL,cases_C.7dma,0.7081050536188083,0.95,0.5787176610682601,0.8027198242976524,29872.528812651162,2.8326081543484117e-10,Spearman correlation,85
copies_per_uL,copies_per_uL_A,0.8261627777962439,0.95,0.7411769329496094,0.8850848213192251,17790.501320332398,1.949872948351892e-18,Spearman correlation,85
copies_per_uL,copies_per_uL_B,0.880325928974965,0.95,0.8191978270271104,0.921676788351126,12247.444428702083,1.1958293927401656e-24,Spearman correlation,85
copies_per_uL,copies_per_uL_C,0.7946227784319928,0.95,0.6960716511570284,0.8637843982156553,20285.10817427207,1.6065400648851595e-15,Spearman correlation,84
copies_per_uL,copies_A,0.6818237372840589,0.95,0.5438974215157171,0.7838794722468663,32562.158726349415,5.371078019026215e-9,Spearman correlation,85
copies_per_uL,copies_B,0.7507256043430462,0.95,0.6362068055017692,0.8328770352303332,25510.741651532648,1.105084157869575e-12,Spearman correlation,85
copies_per_uL,copies_C,0.5736547949052433,0.95,0.4042690584746838,0.7049963147546712,42110.11590720912,7.971479035972647e-5,Spearman correlation,84
copies_per_uL,n.miss_A,-0.5772696117009748,0.95,-0.7070192053019695,-0.40992201568184167,161417.77206147776,5.0323452203693435e-5,Spearman correlation,85
copies_per_uL,n.miss_B,-0.6506446882189677,0.95,-0.7612816637660492,-0.5031950827763934,168926.97739232917,1.2043704522243558e-7,Spearman correlation,85
copies_per_uL,n.miss_C,-0.6204638449210841,0.95,-0.7397698087194148,-0.46333299958556085,160053.2139628555,2.2408066088809147e-6,Spearman correlation,84
copies_per_uL,n_A,-0.3343141263365817,0.95,-0.5157395064532311,-0.12419242317250782,136553.70768928577,1,Spearman correlation,85
copies_per_uL,n_B,-0.33393030019588865,0.95,-0.515422297976715,-0.12376700401333286,136514.42692204725,1,Spearman correlation,85
copies_per_uL,n_C,-0.36316756456543087,0.95,-0.540415075469195,-0.15505716613088408,134640.06035212762,1,Spearman correlation,84
copies_per_uL,copies_per_uL_N1,0.9133584713482271,0.95,0.8679177953897242,0.9436377526432649,8866.894042222437,3.626258892415435e-30,Spearman correlation,85
copies_per_uL,copies_per_uL_N2,0.9128486077220046,0.95,0.866470801530726,0.9436050220077559,8304.133261816512,2.775077698029844e-29,Spearman correlation,83
copies_per_uL,copies_N1,0.7600252166718915,0.95,0.6489219987449815,0.8393930032478024,24559.019325798625,2.827270760850869e-13,Spearman correlation,85
copies_per_uL,copies_N2,0.7405102198245817,0.95,0.6206116799693664,0.8265720185134466,24725.224214234564,1.027177430371529e-11,Spearman correlation,83
copies_per_uL,n.miss_N1,-0.7118671257391256,0.95,-0.8054013854558695,-0.5837409468580935,175192.4816481421,1.8096648489554077e-10,Spearman correlation,85
