sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2020-06-30,A,N1,1,1,0,3,1,35.273908614999996,NA,"C = 35.27 (sd=1.27, n=2)"
2020-06-30,A,N2,1,1,0,3,2,37.04083633,NA,"C = 37.04 (sd=NA, n=1)"
2020-06-30,B,N1,1,1,0,3,2,37.04840088,NA,"C = 37.05 (sd=NA, n=1)"
2020-06-30,B,N2,1,1,0,3,1,37.50320816,NA,"C = 37.5 (sd=2.15, n=2)"
2020-06-30,C,N1,1,0,1,3,3,NA,NA,"C = NA (sd=NA, n=0)"
2020-06-30,C,N2,1,0,1,3,3,NA,NA,"C = NA (sd=NA, n=0)"
2020-07-07,A,N1,3,1,2,9,7,35.273908614999996,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 35.27 (sd=1.27, n=2)"
2020-07-07,A,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-07-07,B,N1,2,1,1,6,5,36.13670731,NA,"A = NA (sd=NA, n=0); B = 36.14 (sd=NA, n=1)"
2020-07-07,B,N2,2,1,1,6,5,37.07791901,NA,"A = NA (sd=NA, n=0); B = 37.08 (sd=NA, n=1)"
2020-07-07,C,N1,2,1,1,6,5,37.06201935,NA,"A = NA (sd=NA, n=0); B = 37.06 (sd=NA, n=1)"
2020-07-07,C,N2,2,2,0,6,4,36.44595337,0.38567401311352134,"A = 36.72 (sd=NA, n=1); B = 36.17 (sd=NA, n=1)"
2020-07-14,A,N1,2,1,1,6,5,37.05036163,NA,"A = NA (sd=NA, n=0); B = 37.05 (sd=NA, n=1)"
2020-07-14,A,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-07-14,B,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-07-14,B,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-07-21,A,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-07-21,A,N2,2,2,0,6,3,36.6479969,0.6244342180668647,"A = 37.09 (sd=NA, n=1); B = 36.21 (sd=0.13, n=2)"
2020-07-21,B,N1,2,2,0,6,3,35.006915092499995,0.921160169623886,"A = 34.36 (sd=NA, n=1); B = 35.66 (sd=1.99, n=2)"
2020-07-21,B,N2,2,2,0,6,1,34.97140089583333,1.048961105405735,"A = 35.71 (sd=0.81, n=3); B = 34.23 (sd=0.06, n=2)"
2020-07-21,C,N1,2,2,0,6,3,36.22300625,0.3514912268030291,"A = 36.47 (sd=0.72, n=2); B = 35.97 (sd=NA, n=1)"
2020-07-21,C,N2,2,1,1,6,4,37.375341415,NA,"A = 37.38 (sd=0.56, n=2); B = NA (sd=NA, n=0)"
2020-07-28,A,N1,2,1,1,6,4,35.015365599999996,NA,"A = NA (sd=NA, n=0); B = 35.02 (sd=0.45, n=2)"
2020-07-28,A,N2,2,2,0,6,3,35.97907829,0.5732322059192165,"A = 36.38 (sd=NA, n=1); B = 35.57 (sd=0.37, n=2)"
2020-07-28,B,N1,2,1,1,6,5,37.09705734,NA,"A = NA (sd=NA, n=0); B = 37.1 (sd=NA, n=1)"
2020-07-28,B,N2,2,1,1,6,3,35.877568563333334,NA,"A = NA (sd=NA, n=0); B = 35.88 (sd=0.05, n=3)"
2020-07-28,C,N1,2,1,1,6,5,36.88323975,NA,"A = NA (sd=NA, n=0); B = 36.88 (sd=NA, n=1)"
2020-07-28,C,N2,2,1,1,6,5,35.82485199,NA,"A = NA (sd=NA, n=0); B = 35.82 (sd=NA, n=1)"
2020-08-04,A,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-04,A,N2,2,1,1,6,5,37.08876419,NA,"A = NA (sd=NA, n=0); B = 37.09 (sd=NA, n=1)"
2020-08-04,B,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-04,B,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
