"","X","date","count_no","count_mi","count_cc","copies_NO_N1","copies_NO_N2","copies_MI_N1","copies_MI_N2","copies_CC_N1","copies_CC_N2"
"1",1,2020-06-01,2.5,0,0,NA,NA,NA,NA,NA,NA
"2",2,2020-06-02,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
"3",3,2020-06-03,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"4",4,2020-06-04,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"5",5,2020-06-05,0,2.5,2.5,NA,NA,NA,NA,NA,NA
"6",6,2020-06-06,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"7",7,2020-06-07,0,0,0,NA,NA,NA,NA,NA,NA
"8",8,2020-06-08,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"9",9,2020-06-09,0,2.5,0,NA,NA,NA,NA,NA,NA
"10",10,2020-06-10,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"11",11,2020-06-11,0,0,0,NA,NA,NA,NA,NA,NA
"12",12,2020-06-12,9,0,0,NA,NA,NA,NA,NA,NA
"13",13,2020-06-13,0,2.5,0,NA,NA,NA,NA,NA,NA
"14",14,2020-06-14,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"15",15,2020-06-15,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"16",16,2020-06-16,2.5,2.5,0,NA,NA,NA,NA,NA,NA
"17",17,2020-06-17,0,0,0,NA,NA,NA,NA,NA,NA
"18",18,2020-06-18,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
"19",19,2020-06-19,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
"20",20,2020-06-20,5,2.5,2.5,NA,NA,NA,NA,NA,NA
"21",21,2020-06-21,2.5,0,0,NA,NA,NA,NA,NA,NA
"22",22,2020-06-22,8,2.5,2.5,NA,NA,NA,NA,NA,NA
"23",23,2020-06-23,10,2.5,2.5,NA,NA,NA,NA,NA,NA
"24",24,2020-06-24,15,2.5,2.5,NA,NA,NA,NA,NA,NA
"25",25,2020-06-25,18,2.5,2.5,NA,NA,NA,NA,NA,NA
"26",26,2020-06-26,11,6,0,NA,NA,NA,NA,NA,NA
"27",27,2020-06-27,9,10,2.5,NA,NA,NA,NA,NA,NA
"28",28,2020-06-28,11,5,2.5,NA,NA,NA,NA,NA,NA
"29",29,2020-06-29,17,12,2.5,NA,NA,NA,NA,NA,NA
"30",30,2020-06-30,11,10,7,114197126518905,220817101695007,19241491818117.5,211344592904686,9951377830957.47,71024237086766.4
"31",31,2020-07-01,25,6,2.5,NA,NA,NA,NA,NA,NA
"32",32,2020-07-02,21,2.5,5,NA,NA,NA,NA,NA,NA
"33",33,2020-07-03,11,9,0,NA,NA,NA,NA,NA,NA
"34",34,2020-07-04,14,2.5,2.5,NA,NA,NA,NA,NA,NA
"35",35,2020-07-05,12,8,5,NA,NA,NA,NA,NA,NA
"36",36,2020-07-06,19,2.5,2.5,NA,NA,NA,NA,NA,NA
"37",37,2020-07-07,13,9,2.5,52871527560001.8,280236750251302,26258302254553.9,148584446911579,11413393589632.2,115860977896497
"38",38,2020-07-08,18,10,6,NA,NA,NA,NA,NA,NA
"39",39,2020-07-09,18,10,8,NA,NA,NA,NA,NA,NA
"40",40,2020-07-10,17,11,2.5,NA,NA,NA,NA,NA,NA
