sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
30-Jun-20,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
30-Jun-20,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
30-Jun-20,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
30-Jun-20,7,MI_7_C,N2,Undetermined,-3.3084,32.416,0.0002
30-Jun-20,7,MI_7_C,N2,35.98116302,-3.3084,32.416,0.083635484
30-Jun-20,7,MI_7_C,N2,39.0252533,-3.3084,32.416,0.010052662
30-Jun-20,7,NO_7_C,N2,37.04083633,-3.3084,32.416,0.040003018
30-Jun-20,7,NO_7_C,N2,Undetermined,-3.3084,32.416,0.0002
30-Jun-20,7,NO_7_C,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,CC_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,CC_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,CC_8_A,N2,36.71866608,-3.3084,32.416,0.050057854
7-Jul-20,8,CC_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,CC_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,CC_8_B,N2,36.17324066,-3.3084,32.416,0.073169993
7-Jul-20,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,MI_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,MI_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,MI_8_B,N2,37.07791901,-3.3084,32.416,0.038983795
7-Jul-20,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
7-Jul-20,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
14-Jul-20,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,CC_10_A,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,CC_10_A,N2,37.77200699,-3.3084,32.416,0.024048525
21-Jul-20,10,CC_10_A,N2,36.97867584,-3.3084,32.416,0.041771632
21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,MI_10_A,N2,36.36291885,-3.3084,32.416,0.064121063
21-Jul-20,10,MI_10_A,N2,35.96951675,-3.3084,32.416,0.084316154
21-Jul-20,10,MI_10_A,N2,34.80694962,-3.3084,32.416,0.189369219
21-Jul-20,10,MI_10_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,MI_10_B,N2,34.27371979,-3.3084,32.416,0.274463074
21-Jul-20,10,MI_10_B,N2,34.18562698,-3.3084,32.416,0.291817233
21-Jul-20,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,NO_10_A,N2,37.08953857,-3.3084,32.416,0.038669804
21-Jul-20,10,NO_10_B,N2,Undetermined,-3.3084,32.416,0.0002
21-Jul-20,10,NO_10_B,N2,36.29841232,-3.3084,32.416,0.067065399
21-Jul-20,10,NO_10_B,N2,36.11449814,-3.3084,32.416,0.076223446
28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,CC_11_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,CC_11_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,CC_11_B,N2,35.82485199,-3.3084,32.416,0.09324752
28-Jul-20,11,MI_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Jul-20,11,MI_11_A,N2,Undetermined,-3.3084,32.416,0.0002
